scenario_id,attempt_id,attempt_index,recovery_attempt,recovery_of_attempt_id,pre_state_alias,action_category,observed_state_alias,screen_alias,state_category,focus_category,recurrence_status,prior_screen_alias,risk_note_code,screenshot_present,ui_tree_present,visual_inspection_present,freshness_status,oracle_result,cleanup_status,dynamic_assertion_policy
QA-044-019,attempt-qa044-019-1,1,false,none,game_card_focused,open_game_detail,game_detail,game_detail_with_server_list,detail,detail_focus,first_observation,none,account_toggle_not_selected,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-020,attempt-qa044-020-1,1,false,none,game_detail,open_server_list,server_list,server_list,detail,server_list_focus,first_observation,none,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-021,attempt-qa044-021-1,1,false,none,server_list,open_approved_boundary,payment_qr_boundary,payment_qr_boundary,boundary,no_actionable_focus,first_observation,none,external_payment_forbidden,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-021,attempt-qa044-021-2,2,true,attempt-qa044-021-1,payment_back_noop,force_stop_relaunch_recovery,catalog_restored,actionable_catalog,recovery,games_nav_focus,recurrence,actionable_catalog,first_boundary_recovery_failure_retained,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-022,attempt-qa044-022-1,1,false,none,payment_qr_boundary,local_jsqr_decode_no_traversal,payment_target_category_recorded,payment_qr_boundary,boundary,no_actionable_focus,recurrence,payment_qr_boundary,raw_qr_target_local_only,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-023,attempt-qa044-023-1,1,false,none,payment_qr_boundary,back_navigation,payment_boundary_unchanged,payment_qr_boundary,navigation,no_actionable_focus,recurrence,payment_qr_boundary,back_noop_at_payment_boundary,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-025,attempt-qa044-025-1,1,false,none,post_auth_catalog,process_kill_relaunch,process_restoration_classified,catalog_with_system_overlay,lifecycle,focus_classified,recurrence,actionable_catalog,transient_overlay_present,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-026,attempt-qa044-026-1,1,false,none,launch_requested,observe_ambient_interruption,ambient_external,ambient_screensaver_external,external_system,no_app_focus,first_observation,none,ambient_not_app_state,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-026,attempt-qa044-026-2,2,true,attempt-qa044-026-1,ambient_external,safe_wake_recovery,app_loader,app_loader,recovery,no_actionable_focus,recurrence,app_loader,force_stop_needed_after_wake,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-028,attempt-qa044-028-1,1,false,none,scenario_run_complete,bounded_log_privacy_scan,public_log_summary_safe,actionable_catalog,privacy,not_applicable,first_observation,none,raw_logs_local_only,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-029,attempt-qa044-029-1,1,false,none,p0_actions_executed,bounded_crash_anr_scan,crash_anr_result_classified,actionable_catalog,stability,not_applicable,first_observation,none,bounded_reference_lane,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-030,attempt-qa044-030-1,1,false,none,catalog_recovered,screenshot_tree_compare,modality_consistency_classified,actionable_catalog_with_system_banner,evidence,focus_classified,first_observation,none,screenshot_xml_overlay_mismatch,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-031,attempt-qa044-031-1,1,false,none,stable_catalog,repeatability_cycle_1,repeatability_cycle_recorded,catalog_with_system_overlay,repeatability,restored_focus,first_observation,none,cycle_overlay_retained,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-031,attempt-qa044-031-2,2,false,none,stable_catalog,repeatability_cycle_2,repeatability_cycle_recorded,actionable_catalog,repeatability,restored_focus,recurrence,actionable_catalog,bounded_cycle_pass,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-031,attempt-qa044-031-3,3,false,none,stable_catalog,repeatability_cycle_3,repeatability_cycle_recorded,actionable_catalog,repeatability,restored_focus,recurrence,actionable_catalog,bounded_cycle_pass,true,true,true,fresh,pass,pass,structure_and_category_only
QA-044-032,attempt-qa044-032-1,1,false,none,terminal_ledger_build,closure_checkpoint,connection_error,app_connection_error,closure,refresh_focus,first_observation,none,error_recurrence,true,true,true,fresh,fail,pass,structure_and_category_only
QA-044-032,attempt-qa044-032-2,2,true,attempt-qa044-032-1,connection_error,force_stop_relaunch_recovery,catalog_restored,actionable_catalog_with_system_banner,closure_recovery,games_nav_focus,recurrence,actionable_catalog,first_closure_error_retained,true,true,true,fresh,pass,pass,structure_and_category_only
