scenario_id,priority,surface_ids,lane,category,title,preconditions,steps,expected_oracle,negative_or_boundary,automation_target,evidence_required,safety_class,blocking_rule
QA-044-011,P0,SURF-FOCUS-002,tv-tpv-013,negative,No-op versus focus loss,send approved key with expected movement,compare before/after screenshot+tree,"no-op, hidden focus, boundary and tooling failure distinguished",yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-012,P0,SURF-SEARCH-001,tv-tpv-013,search,Open Search and TV keyboard,catalog ready,navigate to Search; select field,Search and keyboard state captured,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-013,P0,SURF-SEARCH-001;SURF-ROUTE-001,tv-tpv-013,search,Unicode/special-character query,keyboard input supported,enter safe synthetic query containing Cyrillic/space/symbol,query remains stable; app does not crash; results/error state classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-014,P0,SURF-SEARCH-002,tv-tpv-013,negative,Search keyboard Back/Escape recovery,keyboard open,Back/Escape using safe sequence,"keyboard closes and focus returns, or ANOM re-confirmed with evidence",yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-015,P0,SURF-SEARCH-002,tv-tpv-013,recovery,Search trap force-stop fallback,Back/Escape cannot recover,capture failure; force-stop/relaunch,recovery recorded separately; original defect remains,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-016,P0,SURF-SETTINGS-001,tv-tpv-013,settings,Open Settings root,catalog ready,navigate to Settings,correct screen and focus target confirmed,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-017,P0,SURF-SETTINGS-002;SURF-INPUT-001,tv-tpv-013,settings,Settings to Gamepad,Settings stable,navigate via semantic/focus oracle to Gamepad,Gamepad destination reached; no accidental logout,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-018,P0,SURF-SETTINGS-002,tv-tpv-013,negative,Logout confirmation accidental route,navigation reaches logout dialog,capture; select Cancel only,no account mutation; anomaly retained,yes,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-019,P0,SURF-DETAIL-001,tv-tpv-013,detail,Game card to detail,actionable grid,select safe game card,"detail screen family, focus and Back route recorded",no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-020,P0,SURF-DETAIL-002,tv-tpv-013,detail,Detail to server list,detail has approved action,enter server selection,server-list structure/category observed without fixed rows,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-021,P0,SURF-BOUNDARY-001;SURF-STREAM-001,tv-tpv-013,boundary,Stop before payment/session start,server list or connect boundary reached,capture boundary; do not confirm paid/start action,boundary classified and safe Back recovery succeeds,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-022,P1,SURF-BOUNDARY-002,tv-tpv-013,boundary,Visible QR local-only handling,approved QR boundary visible,capture; use established local decoder only if needed,category-level target recorded; no traversal,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-023,P0,SURF-NAV-001,tv-tpv-013,navigation,Back behavior per reached family,screen families recorded,Back once from each approved family,expected parent/exit/dialog behavior classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-024,P0,SURF-NAV-002,tv-tpv-013,lifecycle,Home and return from detail/settings/search,each state stable,Home; foreground,screen/focus/session restoration recorded per state,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-025,P0,SURF-PERSIST-002,tv-tpv-013,lifecycle,Process kill and relaunch,stable post-auth state,kill app process via approved method; relaunch,session and route restoration explicitly classified,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-026,P0,SURF-NAV-003;SURF-FOCUS-002,tv-tpv-013,system,Ambient/screensaver overlay recovery,idle/ambient can be safely triggered or observed,capture overlay; wake with safe input,overlay not mistaken for app; focus/actionable state restored or defect,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-027,P1,SURF-ROUTE-002,tv-tpv-013,deeplink,Approved safe deep-link route,known public-safe route contract exists,invoke only safe non-mutating route with encoded values,target or safe rejection observed; no crash,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-028,P0,SURF-LOG-001,tv-tpv-013,privacy,Release logcat category redaction,scenario run complete,collect bounded logcat local-only; generate category summary,public report has no raw account/session/device/endpoint values,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-029,P0,SURF-PERF-001,tv-tpv-013,stability,Crash/ANR summary,all P0 flow actions executed,scan bounded runtime signals,no signal or confirmed category with evidence; never silently omitted,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-030,P0,SURF-USABILITY-001,tv-tpv-013,evidence,Screenshot/UI-tree mismatch,transient overlay/snackbar or focus discrepancy appears,compare visual and tree,mismatch is first-class tooling/product observation,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-031,P1,SURF-START-002;SURF-PERSIST-001,tv-tpv-013,repeatability,Three bounded relaunch cycles,baseline stable,repeat Home/foreground and force-stop/relaunch,per-cycle ledger; intermittent failure retained,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
QA-044-032,P0,SURF-RELEASE-001,tv-tpv-013,closure,Reference lane terminal ledger,all selected cases attempted,validate scenario ledger,every P0 row terminally classified with evidence/boundary,no,automate,screenshot+ui_tree+runner_log+ledger,PROD_CONDITIONAL,classify; continue independent scenarios
